English name,scientific name,order,family
African Forest-Flycatcher,Fraseria ocreata,Passeriformes,Muscicapidae (Old World Flycatchers)
Gray-throated Tit-Flycatcher,Fraseria griseigularis,Passeriformes,Muscicapidae (Old World Flycatchers)
Gray Tit-Flycatcher,Fraseria plumbea,Passeriformes,Muscicapidae (Old World Flycatchers)
Olivaceous Flycatcher,Fraseria olivascens,Passeriformes,Muscicapidae (Old World Flycatchers)
Chapin's Flycatcher,Fraseria lendu,Passeriformes,Muscicapidae (Old World Flycatchers)
Tessmann's Flycatcher,Fraseria tessmanni,Passeriformes,Muscicapidae (Old World Flycatchers)
Ashy Flycatcher,Fraseria caerulescens,Passeriformes,Muscicapidae (Old World Flycatchers)
Herero Chat,Melaenornis herero,Passeriformes,Muscicapidae (Old World Flycatchers)
Silverbird,Melaenornis semipartitus,Passeriformes,Muscicapidae (Old World Flycatchers)
Fiscal Flycatcher,Melaenornis silens,Passeriformes,Muscicapidae (Old World Flycatchers)
Yellow-eyed Black-Flycatcher,Melaenornis ardesiacus,Passeriformes,Muscicapidae (Old World Flycatchers)
Nimba Flycatcher,Melaenornis annamarulae,Passeriformes,Muscicapidae (Old World Flycatchers)
Northern Black-Flycatcher,Melaenornis edolioides,Passeriformes,Muscicapidae (Old World Flycatchers)
Southern Black-Flycatcher,Melaenornis pammelaina,Passeriformes,Muscicapidae (Old World Flycatchers)
White-eyed Slaty-Flycatcher,Melaenornis fischeri,Passeriformes,Muscicapidae (Old World Flycatchers)
Angola Slaty-Flycatcher,Melaenornis brunneus,Passeriformes,Muscicapidae (Old World Flycatchers)
Abyssinian Slaty-Flycatcher,Melaenornis chocolatinus,Passeriformes,Muscicapidae (Old World Flycatchers)
Grand Comoro Flycatcher,Humblotia flavirostris,Passeriformes,Muscicapidae (Old World Flycatchers)
White-tailed Alethe,Alethe diademata,Passeriformes,Muscicapidae (Old World Flycatchers)
Fire-crested Alethe,Alethe castanea,Passeriformes,Muscicapidae (Old World Flycatchers)
Karoo Scrub-Robin,Cercotrichas coryphoeus,Passeriformes,Muscicapidae (Old World Flycatchers)
Forest Scrub-Robin,Cercotrichas leucosticta,Passeriformes,Muscicapidae (Old World Flycatchers)
Brown Scrub-Robin,Cercotrichas signata,Passeriformes,Muscicapidae (Old World Flycatchers)
Bearded Scrub-Robin,Cercotrichas quadrivirgata,Passeriformes,Muscicapidae (Old World Flycatchers)
Miombo Scrub-Robin,Cercotrichas barbata,Passeriformes,Muscicapidae (Old World Flycatchers)
Black Scrub-Robin,Cercotrichas podobe,Passeriformes,Muscicapidae (Old World Flycatchers)
Rufous-tailed Scrub-Robin,Cercotrichas galactotes,Passeriformes,Muscicapidae (Old World Flycatchers)
Kalahari Scrub-Robin,Cercotrichas paena,Passeriformes,Muscicapidae (Old World Flycatchers)
Brown-backed Scrub-Robin,Cercotrichas hartlaubi,Passeriformes,Muscicapidae (Old World Flycatchers)
Red-backed Scrub-Robin,Cercotrichas leucophrys,Passeriformes,Muscicapidae (Old World Flycatchers)
Indian Robin,Copsychus fulicatus,Passeriformes,Muscicapidae (Old World Flycatchers)
Oriental Magpie-Robin,Copsychus saularis,Passeriformes,Muscicapidae (Old World Flycatchers)
Rufous-tailed Shama,Copsychus pyrropygus,Passeriformes,Muscicapidae (Old World Flycatchers)
Madagascar Magpie-Robin,Copsychus albospecularis,Passeriformes,Muscicapidae (Old World Flycatchers)
Seychelles Magpie-Robin,Copsychus sechellarum,Passeriformes,Muscicapidae (Old World Flycatchers)
Philippine Magpie-Robin,Copsychus mindanensis,Passeriformes,Muscicapidae (Old World Flycatchers)
White-rumped Shama,Copsychus malabaricus,Passeriformes,Muscicapidae (Old World Flycatchers)
Andaman Shama,Copsychus albiventris,Passeriformes,Muscicapidae (Old World Flycatchers)
White-browed Shama,Copsychus luzoniensis,Passeriformes,Muscicapidae (Old World Flycatchers)
Visayan Shama,Copsychus superciliaris,Passeriformes,Muscicapidae (Old World Flycatchers)
White-vented Shama,Copsychus niger,Passeriformes,Muscicapidae (Old World Flycatchers)
Black Shama,Copsychus cebuensis,Passeriformes,Muscicapidae (Old World Flycatchers)
White-gorgeted Flycatcher,Anthipes monileger,Passeriformes,Muscicapidae (Old World Flycatchers)
Rufous-browed Flycatcher,Anthipes solitaris,Passeriformes,Muscicapidae (Old World Flycatchers)
Nilgiri Sholakili,Sholicola major,Passeriformes,Muscicapidae (Old World Flycatchers)
White-bellied Sholakili,Sholicola albiventris,Passeriformes,Muscicapidae (Old World Flycatchers)
Matinan Flycatcher,Cyornis sanfordi,Passeriformes,Muscicapidae (Old World Flycatchers)
Blue-fronted Flycatcher,Cyornis hoevelli,Passeriformes,Muscicapidae (Old World Flycatchers)
Timor Blue Flycatcher,Cyornis hyacinthinus,Passeriformes,Muscicapidae (Old World Flycatchers)
White-tailed Flycatcher,Cyornis concretus,Passeriformes,Muscicapidae (Old World Flycatchers)
Rück's Blue Flycatcher,Cyornis ruckii,Passeriformes,Muscicapidae (Old World Flycatchers)
Blue-breasted Flycatcher,Cyornis herioti,Passeriformes,Muscicapidae (Old World Flycatchers)
Hainan Blue Flycatcher,Cyornis hainanus,Passeriformes,Muscicapidae (Old World Flycatchers)
White-bellied Blue Flycatcher,Cyornis pallidipes,Passeriformes,Muscicapidae (Old World Flycatchers)
Pale-chinned Blue Flycatcher,Cyornis poliogenys,Passeriformes,Muscicapidae (Old World Flycatchers)
Pale Blue Flycatcher,Cyornis unicolor,Passeriformes,Muscicapidae (Old World Flycatchers)
Blue-throated Flycatcher,Cyornis rubeculoides,Passeriformes,Muscicapidae (Old World Flycatchers)
Chinese Blue Flycatcher,Cyornis glaucicomans,Passeriformes,Muscicapidae (Old World Flycatchers)
Large Blue Flycatcher,Cyornis magnirostris,Passeriformes,Muscicapidae (Old World Flycatchers)
Hill Blue Flycatcher,Cyornis banyumas,Passeriformes,Muscicapidae (Old World Flycatchers)
Sunda Blue Flycatcher,Cyornis caerulatus,Passeriformes,Muscicapidae (Old World Flycatchers)
Malaysian Blue Flycatcher,Cyornis turcosus,Passeriformes,Muscicapidae (Old World Flycatchers)
Palawan Blue Flycatcher,Cyornis lemprieri,Passeriformes,Muscicapidae (Old World Flycatchers)
Bornean Blue Flycatcher,Cyornis superbus,Passeriformes,Muscicapidae (Old World Flycatchers)
Tickell's Blue Flycatcher,Cyornis tickelliae,Passeriformes,Muscicapidae (Old World Flycatchers)
Indochinese Blue Flycatcher,Cyornis sumatrensis,Passeriformes,Muscicapidae (Old World Flycatchers)
Mangrove Blue Flycatcher,Cyornis rufigastra,Passeriformes,Muscicapidae (Old World Flycatchers)
Sulawesi Blue Flycatcher,Cyornis omissus,Passeriformes,Muscicapidae (Old World Flycatchers)
Brown-chested Jungle-Flycatcher,Cyornis brunneatus,Passeriformes,Muscicapidae (Old World Flycatchers)
Nicobar Jungle-Flycatcher,Cyornis nicobaricus,Passeriformes,Muscicapidae (Old World Flycatchers)
Gray-chested Jungle-Flycatcher,Cyornis umbratilis,Passeriformes,Muscicapidae (Old World Flycatchers)
Fulvous-chested Jungle-Flycatcher,Cyornis olivaceus,Passeriformes,Muscicapidae (Old World Flycatchers)
Flores Jungle-Flycatcher,Cyornis oscillans,Passeriformes,Muscicapidae (Old World Flycatchers)
Chestnut-tailed Jungle-Flycatcher,Cyornis ruficauda,Passeriformes,Muscicapidae (Old World Flycatchers)
Banggai Jungle-Flycatcher,Cyornis pelingensis,Passeriformes,Muscicapidae (Old World Flycatchers)
Sula Jungle-Flycatcher,Cyornis colonus,Passeriformes,Muscicapidae (Old World Flycatchers)
Large Niltava,Niltava grandis,Passeriformes,Muscicapidae (Old World Flycatchers)
Small Niltava,Niltava macgrigoriae,Passeriformes,Muscicapidae (Old World Flycatchers)
Fujian Niltava,Niltava davidi,Passeriformes,Muscicapidae (Old World Flycatchers)
Rufous-bellied Niltava,Niltava sundara,Passeriformes,Muscicapidae (Old World Flycatchers)
Rufous-vented Niltava,Niltava sumatrana,Passeriformes,Muscicapidae (Old World Flycatchers)
Vivid Niltava,Niltava vivida,Passeriformes,Muscicapidae (Old World Flycatchers)
Blue-and-white Flycatcher,Cyanoptila cyanomelana,Passeriformes,Muscicapidae (Old World Flycatchers)
Zappey's Flycatcher,Cyanoptila cumatilis,Passeriformes,Muscicapidae (Old World Flycatchers)
Dull-blue Flycatcher,Eumyias sordidus,Passeriformes,Muscicapidae (Old World Flycatchers)
Nilgiri Flycatcher,Eumyias albicaudatus,Passeriformes,Muscicapidae (Old World Flycatchers)
Indigo Flycatcher,Eumyias indigo,Passeriformes,Muscicapidae (Old World Flycatchers)
Verditer Flycatcher,Eumyias thalassinus,Passeriformes,Muscicapidae (Old World Flycatchers)
Buru Jungle-Flycatcher,Eumyias additus,Passeriformes,Muscicapidae (Old World Flycatchers)
Turquoise Flycatcher,Eumyias panayensis,Passeriformes,Muscicapidae (Old World Flycatchers)
White-bellied Robin-Chat,Cossyphicula roberti,Passeriformes,Muscicapidae (Old World Flycatchers)
Mountain Robin-Chat,Cossypha isabellae,Passeriformes,Muscicapidae (Old World Flycatchers)
Archer's Robin-Chat,Cossypha archeri,Passeriformes,Muscicapidae (Old World Flycatchers)
Olive-flanked Robin-Chat,Cossypha anomala,Passeriformes,Muscicapidae (Old World Flycatchers)
Cape Robin-Chat,Cossypha caffra,Passeriformes,Muscicapidae (Old World Flycatchers)
White-throated Robin-Chat,Cossypha humeralis,Passeriformes,Muscicapidae (Old World Flycatchers)
Blue-shouldered Robin-Chat,Cossypha cyanocampter,Passeriformes,Muscicapidae (Old World Flycatchers)
Gray-winged Robin-Chat,Cossypha polioptera,Passeriformes,Muscicapidae (Old World Flycatchers)
Rüppell's Robin-Chat,Cossypha semirufa,Passeriformes,Muscicapidae (Old World Flycatchers)
White-browed Robin-Chat,Cossypha heuglini,Passeriformes,Muscicapidae (Old World Flycatchers)
Red-capped Robin-Chat,Cossypha natalensis,Passeriformes,Muscicapidae (Old World Flycatchers)
Chorister Robin-Chat,Cossypha dichroa,Passeriformes,Muscicapidae (Old World Flycatchers)
White-headed Robin-Chat,Cossypha heinrichi,Passeriformes,Muscicapidae (Old World Flycatchers)
Snowy-crowned Robin-Chat,Cossypha niveicapilla,Passeriformes,Muscicapidae (Old World Flycatchers)
White-crowned Robin-Chat,Cossypha albicapillus,Passeriformes,Muscicapidae (Old World Flycatchers)
Angola Cave-Chat,Xenocopsychus ansorgei,Passeriformes,Muscicapidae (Old World Flycatchers)
Collared Palm-Thrush,Cichladusa arquata,Passeriformes,Muscicapidae (Old World Flycatchers)
Rufous-tailed Palm-Thrush,Cichladusa ruficauda,Passeriformes,Muscicapidae (Old World Flycatchers)
Spotted Morning-Thrush,Cichladusa guttata,Passeriformes,Muscicapidae (Old World Flycatchers)
European Robin,Erithacus rubecula,Passeriformes,Muscicapidae (Old World Flycatchers)
White-starred Robin,Pogonocichla stellata,Passeriformes,Muscicapidae (Old World Flycatchers)
Swynnerton's Robin,Swynnertonia swynnertoni,Passeriformes,Muscicapidae (Old World Flycatchers)
Brown-chested Alethe,Chamaetylas poliocephala,Passeriformes,Muscicapidae (Old World Flycatchers)
Red-throated Alethe,Chamaetylas poliophrys,Passeriformes,Muscicapidae (Old World Flycatchers)
Cholo Alethe,Chamaetylas choloensis,Passeriformes,Muscicapidae (Old World Flycatchers)
White-chested Alethe,Chamaetylas fuelleborni,Passeriformes,Muscicapidae (Old World Flycatchers)
Forest Robin,Stiphrornis erythrothorax,Passeriformes,Muscicapidae (Old World Flycatchers)
Bocage's Akalat,Sheppardia bocagei,Passeriformes,Muscicapidae (Old World Flycatchers)
Lowland Akalat,Sheppardia cyornithopsis,Passeriformes,Muscicapidae (Old World Flycatchers)
Equatorial Akalat,Sheppardia aequatorialis,Passeriformes,Muscicapidae (Old World Flycatchers)
Sharpe's Akalat,Sheppardia sharpei,Passeriformes,Muscicapidae (Old World Flycatchers)
East Coast Akalat,Sheppardia gunningi,Passeriformes,Muscicapidae (Old World Flycatchers)
Gabela Akalat,Sheppardia gabela,Passeriformes,Muscicapidae (Old World Flycatchers)
Usambara Akalat,Sheppardia montana,Passeriformes,Muscicapidae (Old World Flycatchers)
Iringa Akalat,Sheppardia lowei,Passeriformes,Muscicapidae (Old World Flycatchers)
Rubeho Akalat,Sheppardia aurantiithorax,Passeriformes,Muscicapidae (Old World Flycatchers)
Bagobo Robin,Leonardina woodi,Passeriformes,Muscicapidae (Old World Flycatchers)
Eyebrowed Jungle-Flycatcher,Vauriella gularis,Passeriformes,Muscicapidae (Old World Flycatchers)
Rusty-flanked Jungle-Flycatcher,Vauriella insignis,Passeriformes,Muscicapidae (Old World Flycatchers)
Negros Jungle-Flycatcher,Vauriella albigularis,Passeriformes,Muscicapidae (Old World Flycatchers)
Mindanao Jungle-Flycatcher,Vauriella goodfellowi,Passeriformes,Muscicapidae (Old World Flycatchers)
Great Shortwing,Heinrichia calligyna,Passeriformes,Muscicapidae (Old World Flycatchers)
Rusty-bellied Shortwing,Brachypteryx hyperythra,Passeriformes,Muscicapidae (Old World Flycatchers)
Gould's Shortwing,Brachypteryx stellata,Passeriformes,Muscicapidae (Old World Flycatchers)
Lesser Shortwing,Brachypteryx leucophris,Passeriformes,Muscicapidae (Old World Flycatchers)
Himalayan Shortwing,Brachypteryx cruralis,Passeriformes,Muscicapidae (Old World Flycatchers)
Chinese Shortwing,Brachypteryx sinensis,Passeriformes,Muscicapidae (Old World Flycatchers)
Taiwan Shortwing,Brachypteryx goodfellowi,Passeriformes,Muscicapidae (Old World Flycatchers)
White-browed Shortwing,Brachypteryx montana,Passeriformes,Muscicapidae (Old World Flycatchers)
Rufous-tailed Robin,Larvivora sibilans,Passeriformes,Muscicapidae (Old World Flycatchers)
Rufous-headed Robin,Larvivora ruficeps,Passeriformes,Muscicapidae (Old World Flycatchers)
Japanese Robin,Larvivora akahige,Passeriformes,Muscicapidae (Old World Flycatchers)
Ryukyu Robin,Larvivora komadori,Passeriformes,Muscicapidae (Old World Flycatchers)
Indian Blue Robin,Larvivora brunnea,Passeriformes,Muscicapidae (Old World Flycatchers)
Siberian Blue Robin,Larvivora cyane,Passeriformes,Muscicapidae (Old World Flycatchers)
White-throated Robin,Irania gutturalis,Passeriformes,Muscicapidae (Old World Flycatchers)
Thrush Nightingale,Luscinia luscinia,Passeriformes,Muscicapidae (Old World Flycatchers)
Common Nightingale,Luscinia megarhynchos,Passeriformes,Muscicapidae (Old World Flycatchers)
White-bellied Redstart,Luscinia phaenicuroides,Passeriformes,Muscicapidae (Old World Flycatchers)
Bluethroat,Luscinia svecica,Passeriformes,Muscicapidae (Old World Flycatchers)
Sri Lanka Whistling-Thrush,Myophonus blighi,Passeriformes,Muscicapidae (Old World Flycatchers)
Shiny Whistling-Thrush,Myophonus melanurus,Passeriformes,Muscicapidae (Old World Flycatchers)
Javan Whistling-Thrush,Myophonus glaucinus,Passeriformes,Muscicapidae (Old World Flycatchers)
Sumatran Whistling-Thrush,Myophonus castaneus,Passeriformes,Muscicapidae (Old World Flycatchers)
Bornean Whistling-Thrush,Myophonus borneensis,Passeriformes,Muscicapidae (Old World Flycatchers)
Malayan Whistling-Thrush,Myophonus robinsoni,Passeriformes,Muscicapidae (Old World Flycatchers)
Malabar Whistling-Thrush,Myophonus horsfieldii,Passeriformes,Muscicapidae (Old World Flycatchers)
Taiwan Whistling-Thrush,Myophonus insularis,Passeriformes,Muscicapidae (Old World Flycatchers)
Blue Whistling-Thrush,Myophonus caeruleus,Passeriformes,Muscicapidae (Old World Flycatchers)
Little Forktail,Enicurus scouleri,Passeriformes,Muscicapidae (Old World Flycatchers)
White-crowned Forktail,Enicurus leschenaulti,Passeriformes,Muscicapidae (Old World Flycatchers)
Spotted Forktail,Enicurus maculatus,Passeriformes,Muscicapidae (Old World Flycatchers)
Sunda Forktail,Enicurus velatus,Passeriformes,Muscicapidae (Old World Flycatchers)
Chestnut-naped Forktail,Enicurus ruficapillus,Passeriformes,Muscicapidae (Old World Flycatchers)
Black-backed Forktail,Enicurus immaculatus,Passeriformes,Muscicapidae (Old World Flycatchers)
Slaty-backed Forktail,Enicurus schistaceus,Passeriformes,Muscicapidae (Old World Flycatchers)
Firethroat,Calliope pectardens,Passeriformes,Muscicapidae (Old World Flycatchers)
Blackthroat,Calliope obscura,Passeriformes,Muscicapidae (Old World Flycatchers)
Siberian Rubythroat,Calliope calliope,Passeriformes,Muscicapidae (Old World Flycatchers)
Himalayan Rubythroat,Calliope pectoralis,Passeriformes,Muscicapidae (Old World Flycatchers)
Chinese Rubythroat,Calliope tschebaiewi,Passeriformes,Muscicapidae (Old World Flycatchers)
White-tailed Robin,Myiomela leucura,Passeriformes,Muscicapidae (Old World Flycatchers)
Sunda Robin,Myiomela diana,Passeriformes,Muscicapidae (Old World Flycatchers)
Blue-fronted Robin,Cinclidium frontale,Passeriformes,Muscicapidae (Old World Flycatchers)
Red-flanked Bluetail,Tarsiger cyanurus,Passeriformes,Muscicapidae (Old World Flycatchers)
Himalayan Bluetail,Tarsiger rufilatus,Passeriformes,Muscicapidae (Old World Flycatchers)
Rufous-breasted Bush-Robin,Tarsiger hyperythrus,Passeriformes,Muscicapidae (Old World Flycatchers)
White-browed Bush-Robin,Tarsiger indicus,Passeriformes,Muscicapidae (Old World Flycatchers)
Golden Bush-Robin,Tarsiger chrysaeus,Passeriformes,Muscicapidae (Old World Flycatchers)
Collared Bush-Robin,Tarsiger johnstoniae,Passeriformes,Muscicapidae (Old World Flycatchers)
Yellow-rumped Flycatcher,Ficedula zanthopygia,Passeriformes,Muscicapidae (Old World Flycatchers)
Green-backed Flycatcher,Ficedula elisae,Passeriformes,Muscicapidae (Old World Flycatchers)
Narcissus Flycatcher,Ficedula narcissina,Passeriformes,Muscicapidae (Old World Flycatchers)
Mugimaki Flycatcher,Ficedula mugimaki,Passeriformes,Muscicapidae (Old World Flycatchers)
Slaty-backed Flycatcher,Ficedula erithacus,Passeriformes,Muscicapidae (Old World Flycatchers)
Black-and-orange Flycatcher,Ficedula nigrorufa,Passeriformes,Muscicapidae (Old World Flycatchers)
Slaty-blue Flycatcher,Ficedula tricolor,Passeriformes,Muscicapidae (Old World Flycatchers)
Snowy-browed Flycatcher,Ficedula hyperythra,Passeriformes,Muscicapidae (Old World Flycatchers)
Pygmy Flycatcher,Ficedula hodgsoni,Passeriformes,Muscicapidae (Old World Flycatchers)
Rufous-gorgeted Flycatcher,Ficedula strophiata,Passeriformes,Muscicapidae (Old World Flycatchers)
Sapphire Flycatcher,Ficedula sapphira,Passeriformes,Muscicapidae (Old World Flycatchers)
Little Pied Flycatcher,Ficedula westermanni,Passeriformes,Muscicapidae (Old World Flycatchers)
Ultramarine Flycatcher,Ficedula superciliaris,Passeriformes,Muscicapidae (Old World Flycatchers)
Rusty-tailed Flycatcher,Ficedula ruficauda,Passeriformes,Muscicapidae (Old World Flycatchers)
Taiga Flycatcher,Ficedula albicilla,Passeriformes,Muscicapidae (Old World Flycatchers)
Kashmir Flycatcher,Ficedula subrubra,Passeriformes,Muscicapidae (Old World Flycatchers)
Red-breasted Flycatcher,Ficedula parva,Passeriformes,Muscicapidae (Old World Flycatchers)
Semicollared Flycatcher,Ficedula semitorquata,Passeriformes,Muscicapidae (Old World Flycatchers)
European Pied Flycatcher,Ficedula hypoleuca,Passeriformes,Muscicapidae (Old World Flycatchers)
Atlas Flycatcher,Ficedula speculigera,Passeriformes,Muscicapidae (Old World Flycatchers)
Collared Flycatcher,Ficedula albicollis,Passeriformes,Muscicapidae (Old World Flycatchers)
Tanimbar Flycatcher,Ficedula riedeli,Passeriformes,Muscicapidae (Old World Flycatchers)
Rufous-chested Flycatcher,Ficedula dumetoria,Passeriformes,Muscicapidae (Old World Flycatchers)
Palawan Flycatcher,Ficedula platenae,Passeriformes,Muscicapidae (Old World Flycatchers)
Furtive Flycatcher,Ficedula disposita,Passeriformes,Muscicapidae (Old World Flycatchers)
Rufous-throated Flycatcher,Ficedula rufigula,Passeriformes,Muscicapidae (Old World Flycatchers)
Damar Flycatcher,Ficedula henrici,Passeriformes,Muscicapidae (Old World Flycatchers)
Cinnamon-chested Flycatcher,Ficedula buruensis,Passeriformes,Muscicapidae (Old World Flycatchers)
Lompobattang Flycatcher,Ficedula bonthaina,Passeriformes,Muscicapidae (Old World Flycatchers)
Sumba Flycatcher,Ficedula harterti,Passeriformes,Muscicapidae (Old World Flycatchers)
Black-banded Flycatcher,Ficedula timorensis,Passeriformes,Muscicapidae (Old World Flycatchers)
Little Slaty Flycatcher,Ficedula basilanica,Passeriformes,Muscicapidae (Old World Flycatchers)
Cryptic Flycatcher,Ficedula crypta,Passeriformes,Muscicapidae (Old World Flycatchers)
Bundok Flycatcher,Ficedula luzoniensis,Passeriformes,Muscicapidae (Old World Flycatchers)
Blue-fronted Redstart,Phoenicurus frontalis,Passeriformes,Muscicapidae (Old World Flycatchers)
Plumbeous Redstart,Phoenicurus fuliginosus,Passeriformes,Muscicapidae (Old World Flycatchers)
Luzon Redstart,Phoenicurus bicolor,Passeriformes,Muscicapidae (Old World Flycatchers)
Rufous-backed Redstart,Phoenicurus erythronotus,Passeriformes,Muscicapidae (Old World Flycatchers)
White-capped Redstart,Phoenicurus leucocephalus,Passeriformes,Muscicapidae (Old World Flycatchers)
Ala Shan Redstart,Phoenicurus alaschanicus,Passeriformes,Muscicapidae (Old World Flycatchers)
Blue-capped Redstart,Phoenicurus coeruleocephala,Passeriformes,Muscicapidae (Old World Flycatchers)
Moussier's Redstart,Phoenicurus moussieri,Passeriformes,Muscicapidae (Old World Flycatchers)
Common Redstart,Phoenicurus phoenicurus,Passeriformes,Muscicapidae (Old World Flycatchers)
Hodgson's Redstart,Phoenicurus hodgsoni,Passeriformes,Muscicapidae (Old World Flycatchers)
White-throated Redstart,Phoenicurus schisticeps,Passeriformes,Muscicapidae (Old World Flycatchers)
White-winged Redstart,Phoenicurus erythrogastrus,Passeriformes,Muscicapidae (Old World Flycatchers)
Black Redstart,Phoenicurus ochruros,Passeriformes,Muscicapidae (Old World Flycatchers)
Daurian Redstart,Phoenicurus auroreus,Passeriformes,Muscicapidae (Old World Flycatchers)
Little Rock-Thrush,Monticola rufocinereus,Passeriformes,Muscicapidae (Old World Flycatchers)
Chestnut-bellied Rock-Thrush,Monticola rufiventris,Passeriformes,Muscicapidae (Old World Flycatchers)
White-throated Rock-Thrush,Monticola gularis,Passeriformes,Muscicapidae (Old World Flycatchers)
Blue-capped Rock-Thrush,Monticola cinclorhyncha,Passeriformes,Muscicapidae (Old World Flycatchers)
Short-toed Rock-Thrush,Monticola brevipes,Passeriformes,Muscicapidae (Old World Flycatchers)
Sentinel Rock-Thrush,Monticola explorator,Passeriformes,Muscicapidae (Old World Flycatchers)
Forest Rock-Thrush,Monticola sharpei,Passeriformes,Muscicapidae (Old World Flycatchers)
Littoral Rock-Thrush,Monticola imerina,Passeriformes,Muscicapidae (Old World Flycatchers)
Rufous-tailed Rock-Thrush,Monticola saxatilis,Passeriformes,Muscicapidae (Old World Flycatchers)
Blue Rock-Thrush,Monticola solitarius,Passeriformes,Muscicapidae (Old World Flycatchers)
Miombo Rock-Thrush,Monticola angolensis,Passeriformes,Muscicapidae (Old World Flycatchers)
Cape Rock-Thrush,Monticola rupestris,Passeriformes,Muscicapidae (Old World Flycatchers)
Whinchat,Saxicola rubetra,Passeriformes,Muscicapidae (Old World Flycatchers)
White-browed Bushchat,Saxicola macrorhynchus,Passeriformes,Muscicapidae (Old World Flycatchers)
White-throated Bushchat,Saxicola insignis,Passeriformes,Muscicapidae (Old World Flycatchers)
Fuerteventura Stonechat,Saxicola dacotiae,Passeriformes,Muscicapidae (Old World Flycatchers)
European Stonechat,Saxicola rubicola,Passeriformes,Muscicapidae (Old World Flycatchers)
Siberian Stonechat,Saxicola maurus,Passeriformes,Muscicapidae (Old World Flycatchers)
African Stonechat,Saxicola torquatus,Passeriformes,Muscicapidae (Old World Flycatchers)
Reunion Stonechat,Saxicola tectes,Passeriformes,Muscicapidae (Old World Flycatchers)
White-tailed Stonechat,Saxicola leucurus,Passeriformes,Muscicapidae (Old World Flycatchers)
Pied Bushchat,Saxicola caprata,Passeriformes,Muscicapidae (Old World Flycatchers)
Jerdon's Bushchat,Saxicola jerdoni,Passeriformes,Muscicapidae (Old World Flycatchers)
Gray Bushchat,Saxicola ferreus,Passeriformes,Muscicapidae (Old World Flycatchers)
Timor Bushchat,Saxicola gutturalis,Passeriformes,Muscicapidae (Old World Flycatchers)
Buff-streaked Chat,Campicoloides bifasciatus,Passeriformes,Muscicapidae (Old World Flycatchers)
Sickle-winged Chat,Emarginata sinuata,Passeriformes,Muscicapidae (Old World Flycatchers)
Karoo Chat,Emarginata schlegelii,Passeriformes,Muscicapidae (Old World Flycatchers)
Tractrac Chat,Emarginata tractrac,Passeriformes,Muscicapidae (Old World Flycatchers)
Moorland Chat,Pinarochroa sordida,Passeriformes,Muscicapidae (Old World Flycatchers)
Mocking Cliff-Chat,Thamnolaea cinnamomeiventris,Passeriformes,Muscicapidae (Old World Flycatchers)
White-winged Cliff-Chat,Thamnolaea semirufa,Passeriformes,Muscicapidae (Old World Flycatchers)
Sooty Chat,Myrmecocichla nigra,Passeriformes,Muscicapidae (Old World Flycatchers)
Northern Anteater-Chat,Myrmecocichla aethiops,Passeriformes,Muscicapidae (Old World Flycatchers)
Southern Anteater-Chat,Myrmecocichla formicivora,Passeriformes,Muscicapidae (Old World Flycatchers)
Congo Moor Chat,Myrmecocichla tholloni,Passeriformes,Muscicapidae (Old World Flycatchers)
Mountain Wheatear,Myrmecocichla monticola,Passeriformes,Muscicapidae (Old World Flycatchers)
Rüppell's Chat,Myrmecocichla melaena,Passeriformes,Muscicapidae (Old World Flycatchers)
Arnot's Chat,Myrmecocichla arnotti,Passeriformes,Muscicapidae (Old World Flycatchers)
Ruaha Chat,Myrmecocichla collaris,Passeriformes,Muscicapidae (Old World Flycatchers)
Northern Wheatear,Oenanthe oenanthe,Passeriformes,Muscicapidae (Old World Flycatchers)
Capped Wheatear,Oenanthe pileata,Passeriformes,Muscicapidae (Old World Flycatchers)
Red-breasted Wheatear,Oenanthe bottae,Passeriformes,Muscicapidae (Old World Flycatchers)
Isabelline Wheatear,Oenanthe isabellina,Passeriformes,Muscicapidae (Old World Flycatchers)
Heuglin's Wheatear,Oenanthe heuglini,Passeriformes,Muscicapidae (Old World Flycatchers)
Hooded Wheatear,Oenanthe monacha,Passeriformes,Muscicapidae (Old World Flycatchers)
Desert Wheatear,Oenanthe deserti,Passeriformes,Muscicapidae (Old World Flycatchers)
Pied Wheatear,Oenanthe pleschanka,Passeriformes,Muscicapidae (Old World Flycatchers)
Black-eared Wheatear,Oenanthe hispanica,Passeriformes,Muscicapidae (Old World Flycatchers)
Cyprus Wheatear,Oenanthe cypriaca,Passeriformes,Muscicapidae (Old World Flycatchers)
White-fronted Black-Chat,Oenanthe albifrons,Passeriformes,Muscicapidae (Old World Flycatchers)
Somali Wheatear,Oenanthe phillipsi,Passeriformes,Muscicapidae (Old World Flycatchers)
Red-rumped Wheatear,Oenanthe moesta,Passeriformes,Muscicapidae (Old World Flycatchers)
Blackstart,Oenanthe melanura,Passeriformes,Muscicapidae (Old World Flycatchers)
Familiar Chat,Oenanthe familiaris,Passeriformes,Muscicapidae (Old World Flycatchers)
Sombre Rock Chat,Oenanthe dubia,Passeriformes,Muscicapidae (Old World Flycatchers)
Brown-tailed Chat,Oenanthe scotocerca,Passeriformes,Muscicapidae (Old World Flycatchers)
Brown Rock Chat,Oenanthe fusca,Passeriformes,Muscicapidae (Old World Flycatchers)
Variable Wheatear,Oenanthe picata,Passeriformes,Muscicapidae (Old World Flycatchers)
